[Log] 0.17974200684870448 (Obstacle-start-circular.html, line 124)
[Log] 0.16890731500007677 (Obstacle-start-circular.html, line 124)
[Log] 0.14197514954326587 (Obstacle-start-circular.html, line 124)
[Log] 0.13587997918171346 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.15756550623333052 (Obstacle-start-circular.html, line 124)
[Log] 0.1475323334977116 (Obstacle-start-circular.html, line 124)
[Log] 0.08792969626061636 (Obstacle-start-circular.html, line 124)
[Log] 0.1406041077556197 (Obstacle-start-circular.html, line 124)
[Log] 0.14865372102761087 (Obstacle-start-circular.html, line 124)
[Log] 0.13315692323435704 (Obstacle-start-circular.html, line 124)
[Log] 0.16214090222813626 (Obstacle-start-circular.html, line 124)
[Log] 0.17009885893118398 (Obstacle-start-circular.html, line 124)
[Log] 0.11257419518636191 (Obstacle-start-circular.html, line 124)
[Log] 0.14303889244768536 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.11496049055162469 (Obstacle-start-circular.html, line 124)
[Log] 0.11919499866786962 (Obstacle-start-circular.html, line 124)
[Log] 0.1747083271236504 (Obstacle-start-circular.html, line 124)
